,1-Wire/iButton Part Number: DS1923,
1-Wire/iButton Registration Number: C20000002BB97B41,,
Mission in Progress?  true,,
SUTA Mission?  false,,
Waiting for Temperature Alarm?  false,,
Sample Rate:  Every 3600 second(s),,
Mission Start Time:  Thu May 30 11:08:01 CST 2013,,
Mission Sample Count:  503,,
Roll Over Enabled?  true(no rollover occurred),,
First Sample Timestamp:  Thu May 30 11:08:01 CST 2013,,
Total Mission Samples:  503,,
Total Device Samples:  7742,,
Temperature Logging:  0.0625 C,,
Temperature High Alarm:  disabled,,
Temperature Low Alarm:  disabled,,
Data Logging:  0.04 %RH,,
Data High Alarm:  disabled,,
Data Low Alarm:  disabled,,
,,
Date/Time,Unit,Value
06-16-13 08:08:01 PM,%RH,91.51
06-16-13 09:08:01 PM,%RH,91.51
06-16-13 10:08:01 PM,%RH,91.388
06-16-13 11:08:01 PM,%RH,92.485
06-17-13 12:08:01 AM,%RH,95.132
06-17-13 01:08:01 AM,%RH,95.846
06-17-13 02:08:01 AM,%RH,96.791
06-17-13 03:08:01 AM,%RH,97.729
06-17-13 04:08:01 AM,%RH,98.661
06-17-13 05:08:01 AM,%RH,98.893
06-17-13 06:08:01 AM,%RH,98.313
06-17-13 07:08:01 AM,%RH,97.495
06-17-13 08:08:01 AM,%RH,95.371
06-17-13 09:08:01 AM,%RH,90.652
06-17-13 10:08:01 AM,%RH,85.011
06-17-13 11:08:01 AM,%RH,75.548
06-17-13 12:08:01 PM,%RH,72.687
06-17-13 01:08:01 PM,%RH,79.424
06-17-13 02:08:01 PM,%RH,70.754
06-17-13 03:08:01 PM,%RH,86.409
06-17-13 04:08:01 PM,%RH,93.333
06-17-13 05:08:01 PM,%RH,93.574
06-17-13 06:08:01 PM,%RH,95.49
06-17-13 07:08:01 PM,%RH,96.437
06-17-13 08:08:01 PM,%RH,97.261
06-17-13 09:08:01 PM,%RH,97.612
06-17-13 10:08:01 PM,%RH,97.729
06-17-13 11:08:01 PM,%RH,98.545
06-18-13 12:08:01 AM,%RH,98.313
06-18-13 01:08:01 AM,%RH,98.777
06-18-13 02:08:01 AM,%RH,99.587
06-18-13 03:08:01 AM,%RH,99.009
06-18-13 04:08:01 AM,%RH,99.702
06-18-13 05:08:01 AM,%RH,99.24
06-18-13 06:08:01 AM,%RH,98.893
06-18-13 07:08:01 AM,%RH,97.261
06-18-13 08:08:01 AM,%RH,89.664
06-18-13 09:08:01 AM,%RH,82.954
06-18-13 10:08:01 AM,%RH,70.059
06-18-13 11:08:01 AM,%RH,62.53
06-18-13 12:08:01 PM,%RH,55.61
06-18-13 01:08:01 PM,%RH,58.583
06-18-13 02:08:01 PM,%RH,54.409
06-18-13 03:08:01 PM,%RH,52.14
06-18-13 04:08:01 PM,%RH,73.099
06-18-13 05:08:01 PM,%RH,81.656
06-18-13 06:08:01 PM,%RH,84.371
06-18-13 07:08:01 PM,%RH,88.171
06-18-13 08:08:01 PM,%RH,91.755
06-18-13 09:08:01 PM,%RH,95.49
06-18-13 10:08:01 PM,%RH,96.319
06-18-13 11:08:01 PM,%RH,97.261
06-19-13 12:08:01 AM,%RH,97.846
06-19-13 01:08:01 AM,%RH,98.313
06-19-13 02:08:01 AM,%RH,98.545
06-19-13 03:08:01 AM,%RH,99.125
06-19-13 04:08:01 AM,%RH,98.313
06-19-13 05:08:01 AM,%RH,99.009
06-19-13 06:08:01 AM,%RH,98.545
06-19-13 07:08:01 AM,%RH,95.846
06-19-13 08:08:01 AM,%RH,83.986
06-19-13 09:08:01 AM,%RH,67.394
06-19-13 10:08:01 AM,%RH,70.615
06-19-13 11:08:01 AM,%RH,61.223
06-19-13 12:08:01 PM,%RH,58.287
06-19-13 01:08:01 PM,%RH,66.686
06-19-13 02:08:01 PM,%RH,59.172
06-19-13 03:08:01 PM,%RH,58.73
06-19-13 04:08:01 PM,%RH,93.212
06-19-13 05:08:01 PM,%RH,93.695
06-19-13 06:08:01 PM,%RH,95.132
06-19-13 07:08:01 PM,%RH,95.727
06-19-13 08:08:01 PM,%RH,96.673
06-19-13 09:08:01 PM,%RH,97.846
06-19-13 10:08:01 PM,%RH,98.08
06-19-13 11:08:01 PM,%RH,98.08
06-20-13 12:08:01 AM,%RH,97.963
06-20-13 01:08:01 AM,%RH,98.893
06-20-13 02:08:01 AM,%RH,98.661
06-20-13 03:08:01 AM,%RH,99.009
06-20-13 04:08:01 AM,%RH,99.932
06-20-13 05:08:01 AM,%RH,100.047
06-20-13 06:08:01 AM,%RH,98.429
06-20-13 07:08:01 AM,%RH,96.909
06-20-13 08:08:01 AM,%RH,85.393
06-20-13 09:08:01 AM,%RH,84.114
